Order_ID,Customer_ID,Age,Gender,City,Product_Category,Product,Quantity,Unit_Price,Discount,Payment_Method,Order_Date,Rating,Delivery_Days,Returned,Total_Amount
ORD100543,CUST6787,28.0,Male,Chennai,Sports,Yoga Mat,1,831.7,20.0,UPI,2026-07-28,4.2,3.0,No,665.36
ORD100150,CUST8539,26.0,Female,Delhi,Electronics,Headphones,2,2693.16,5.0,Net Banking,2026-10-07,4.4,6.0,No,5117.0
ORD102406,CUST6956,31.0,Female,Bengaluru,Electronics,Laptop,1,65832.03,0.0,COD,2026-09-13,4.9,6.0,No,65832.03
ORD106707,CUST8989,21.0,Male,Hyderabad,Electronics,Smartwatch,1,7915.15,0.0,Wallet,2026-03-20,3.8,2.0,No,7915.15
ORD111343,CUST5658,41.0,Female,Delhi,Fashion,Jeans,3,1566.26,25.0,Credit Card,2026-07-18,4.9,1.0,No,3524.09
ORD107857,CUST2650,28.0,Other,Pune,Electronics,Laptop,3,55954.27,5.0,Wallet,2025-10-21,,1.0,No,159469.68
ORD112175,CUST4612,36.0,Male,Bengaluru,Books,Biography,3,564.0,10.0,Debit Card,2025-12-23,5.0,3.0,No,1522.81
ORD102232,CUST1043,36.0,Female,Visakhapatnam,Beauty,Moisturizer,1,768.28,10.0,Wallet,2025-09-25,4.5,4.0,No,691.46
ORD111218,CUST7320,28.0,Female,Kolkata,Fashion,T-Shirt,2,1006.46,0.0,Net Banking,2026-06-04,4.0,6.0,No,2012.91
ORD107473,CUST2683,22.0,Male,Vijayawada,Fashion,Shoes,1,2264.8,5.0,Wallet,2025-09-22,2.8,2.0,No,2151.56
ORD110187,CUST1079,34.0,Male,Ahmedabad,Home & Kitchen,Mixer Grinder,1,3119.61,15.0,COD,2025-08-20,4.3,1.0,No,2651.66
ORD104430,CUST8230,18.0,Female,Pune,Electronics,Laptop,1,68538.16,10.0,UPI,2026-10-27,3.6,4.0,No,61684.35
ORD110543,CUST6348,34.0,Male,Pune,Electronics,Headphones,1,2604.73,5.0,COD,2025-04-08,5.0,3.0,Yes,2474.49
ORD107071,CUST6150,18.0,Male,Warangal,Beauty,Hair Dryer,2,2181.08,10.0,UPI,2026-12-06,2.6,6.0,No,3925.95
ORD105548,CUST6543,22.0,Male,Mumbai,Home & Kitchen,Cookware Set,3,2412.32,0.0,UPI,2025-06-03,3.3,8.0,No,7236.96
ORD110361,CUST8292,18.0,Male,Bengaluru,Sports,Football,1,1329.99,20.0,UPI,2025-10-16,3.6,2.0,No,1063.99
ORD113518,CUST6857,,Female,Bengaluru,Electronics,Headphones,1,3063.17,20.0,UPI,2026-10-30,3.5,5.0,Yes,2450.53
ORD103976,CUST3601,67.0,Male,Ahmedabad,Electronics,Headphones,1,3002.35,20.0,UPI,2026-09-03,3.8,7.0,No,2401.88
ORD111276,CUST7954,32.0,Male,Vijayawada,Fashion,T-Shirt,1,832.41,5.0,UPI,2025-10-03,4.7,6.0,Yes,790.79
ORD100567,CUST4729,33.0,Male,Chennai,Beauty,Perfume,1,1797.69,0.0,UPI,2026-08-26,1.9,6.0,No,1797.69
ORD109418,CUST2243,31.0,Female,Bengaluru,Beauty,Perfume,1,2051.41,5.0,Debit Card,2026-02-10,5.0,2.0,No,1948.84
ORD107349,CUST6429,26.0,Female,Chennai,Fashion,Jeans,3,1543.07,10.0,Wallet,2025-08-11,3.4,4.0,No,4166.3
ORD114445,CUST3336,19.0,Male,Hyderabad,Home & Kitchen,Mixer Grinder,3,3553.88,10.0,Debit Card,2026-03-01,3.9,2.0,Yes,9595.48
ORD111103,CUST2589,40.0,Female,Pune,Beauty,Face Wash,1,504.95,15.0,Debit Card,2026-07-18,2.8,4.0,No,429.2
ORD103112,CUST6204,35.0,Male,Delhi,Fashion,T-Shirt,3,890.84,15.0,Credit Card,2026-02-02,3.3,4.0,No,2271.63
ORD108383,CUST7971,25.0,Male,Warangal,Electronics,Tablet,1,19498.77,10.0,Credit Card,2026-07-13,,8.0,No,17548.9
ORD111348,CUST2633,50.0,Male,Warangal,Electronics,Smartphone,2,26179.31,30.0,Credit Card,2025-01-05,2.9,2.0,No,36651.03
ORD105187,CUST1420,26.0,Female,,Electronics,Headphones,5,3264.1,0.0,Net Banking,2025-05-07,3.3,5.0,No,16320.51
ORD101088,CUST2308,39.0,Female,Mumbai,Beauty,Moisturizer,3,720.42,10.0,,2025-10-30,4.7,4.0,No,1945.14
ORD103194,CUST2755,42.0,Male,Pune,Beauty,Perfume,3,2002.29,15.0,Wallet,2025-07-08,4.6,6.0,No,5105.85
ORD112332,CUST4952,34.0,Female,Kolkata,Home & Kitchen,Bedsheet,2,1372.2,20.0,Debit Card,2026-04-05,4.0,3.0,No,2195.52
ORD109397,CUST6625,32.0,Female,Pune,Home & Kitchen,Bedsheet,2,1462.35,5.0,UPI,2026-04-28,3.7,2.0,No,2778.46
ORD105071,CUST1672,22.0,Male,Visakhapatnam,Fashion,T-Shirt,1,988.86,5.0,Debit Card,2026-05-03,2.7,5.0,No,939.42
ORD109026,CUST6672,31.0,Female,Pune,Home & Kitchen,Bedsheet,1,1525.82,15.0,UPI,2026-06-05,,5.0,No,1296.95
ORD110507,CUST8001,49.0,Female,Kolkata,Home & Kitchen,Cookware Set,1,3114.63,20.0,Net Banking,2026-04-08,3.6,1.0,No,2491.7
ORD104609,CUST3954,18.0,Other,Vijayawada,Electronics,Smartphone,3,27616.08,15.0,Wallet,2025-05-30,4.5,2.0,No,70421.0
ORD107019,CUST1898,31.0,Male,Pune,Electronics,Smartwatch,1,6230.06,5.0,Credit Card,2025-09-01,4.6,5.0,No,5918.56
ORD103785,CUST7677,43.0,Male,Guntur,Home & Kitchen,Cookware Set,4,2454.31,15.0,COD,2025-01-30,3.4,6.0,No,8344.64
ORD114830,CUST6724,36.0,Male,Mumbai,Sports,Football,3,1112.77,0.0,COD,2026-04-25,3.9,2.0,No,3338.32
ORD108471,CUST4732,21.0,Male,Guntur,Fashion,T-Shirt,1,972.2,20.0,UPI,2025-11-20,4.2,3.0,No,777.76
ORD111323,CUST1838,43.0,Male,Guntur,Home & Kitchen,Air Fryer,3,7266.47,20.0,UPI,2025-07-01,4.4,2.0,No,17439.54
ORD105050,CUST1031,30.0,Female,Hyderabad,Books,Biography,4,670.1,0.0,Wallet,2025-02-23,4.2,3.0,No,2680.39
ORD103479,CUST3967,25.0,Female,Vijayawada,Books,Biography,4,740.74,15.0,COD,2025-05-29,4.0,2.0,No,2518.53
ORD103326,CUST2047,40.0,Male,Mumbai,Sports,Football,3,1068.63,15.0,Debit Card,2026-11-11,4.5,4.0,No,2725.01
ORD102272,CUST8786,28.0,Male,Pune,Home & Kitchen,Air Fryer,1,5804.95,0.0,Net Banking,2025-03-07,4.1,2.0,No,5804.95
ORD108511,CUST4920,35.0,Female,Pune,Fashion,Handbag,1,2499.3,5.0,Debit Card,2025-12-17,4.3,6.0,No,2374.33
ORD108880,CUST2049,20.0,Female,Pune,Home & Kitchen,Cookware Set,1,2932.78,15.0,Net Banking,2025-08-30,4.0,,No,2492.86
ORD111901,CUST1326,34.0,Female,Chennai,Electronics,Tablet,1,19383.36,15.0,UPI,2026-01-23,3.0,7.0,No,16475.86
ORD111443,CUST7218,19.0,Male,Visakhapatnam,Fashion,Handbag,1,2356.77,30.0,Credit Card,2026-01-31,4.5,3.0,No,1649.74
ORD109267,CUST7896,30.0,Male,Visakhapatnam,Fashion,Jeans,2,1851.92,10.0,Wallet,2026-07-22,4.0,6.0,No,3333.46
ORD105956,CUST4452,38.0,Female,Hyderabad,Home & Kitchen,Lamp,2,1114.02,5.0,UPI,2025-10-18,4.1,3.0,No,2116.64
ORD110292,CUST3114,32.0,Male,Warangal,Beauty,Hair Dryer,2,1881.34,5.0,Wallet,2025-09-19,3.8,4.0,No,3574.55
ORD104140,CUST5157,47.0,Female,Bengaluru,Sports,Cricket Bat,3,2948.33,5.0,UPI,2025-03-24,3.9,8.0,No,8402.73
ORD110649,CUST6786,30.0,Female,Chennai,Fashion,Handbag,1,1956.7,15.0,Net Banking,2025-01-11,4.2,5.0,No,1663.2
ORD108730,CUST7153,33.0,Male,Hyderabad,Fashion,T-Shirt,4,994.29,10.0,UPI,2025-05-16,2.6,5.0,No,3579.44
ORD109394,CUST2687,19.0,Female,Guntur,Electronics,Smartwatch,2,6740.82,10.0,Credit Card,2025-10-23,3.7,7.0,No,12133.47
ORD103345,CUST3551,43.0,Male,Visakhapatnam,Home & Kitchen,Air Fryer,1,7197.58,10.0,UPI,2026-08-10,3.5,1.0,Yes,6477.82
ORD112079,CUST3171,35.0,Male,Delhi,Electronics,Smartwatch,1,6546.14,10.0,Credit Card,2026-12-05,4.8,3.0,No,5891.53
ORD108404,CUST3405,32.0,Male,Bengaluru,Sports,Yoga Mat,5,978.62,25.0,Credit Card,2025-08-28,4.5,5.0,No,3669.82
ORD110376,CUST5647,40.0,Female,Warangal,Beauty,Moisturizer,1,649.25,25.0,COD,2026-12-22,2.5,6.0,No,486.94
ORD110324,CUST5285,45.0,Male,Vijayawada,Home & Kitchen,Mixer Grinder,1,3468.86,5.0,Credit Card,2025-09-16,3.9,3.0,No,3295.41
ORD107054,CUST7537,26.0,Male,Ahmedabad,Fashion,T-Shirt,1,927.15,0.0,Net Banking,2025-04-14,5.0,6.0,Yes,927.15
ORD105206,CUST8000,44.0,Female,Visakhapatnam,Electronics,Smartphone,1,25150.96,15.0,COD,2026-11-15,3.8,6.0,No,21378.31
ORD102590,CUST4407,38.0,Other,,Fashion,Shoes,1,2325.08,0.0,Net Banking,2026-12-16,3.9,6.0,No,2325.08
ORD107318,CUST2212,22.0,Female,Mumbai,Books,Novel,3,500.0,10.0,Wallet,2025-01-11,2.8,5.0,No,1350.01
ORD107435,CUST4989,99.0,Female,Visakhapatnam,Electronics,Headphones,3,2639.46,0.0,Net Banking,2025-03-04,3.8,2.0,Yes,7918.39
ORD107460,CUST5613,47.0,Male,Bengaluru,Beauty,Hair Dryer,3,2463.28,10.0,Debit Card,2026-12-13,2.8,6.0,No,6650.87
ORD102754,CUST5158,18.0,Female,Visakhapatnam,Electronics,Smartphone,3,24538.28,10.0,COD,2025-02-05,5.0,5.0,No,66253.37
ORD105953,CUST4864,33.0,Female,Bengaluru,Fashion,Jeans,1,1622.69,20.0,Wallet,2026-11-03,5.0,5.0,No,1298.15
ORD106019,CUST6021,37.0,Male,Pune,Beauty,Hair Dryer,1,2502.63,15.0,Wallet,2025-08-26,2.2,8.0,No,2127.23
ORD112330,CUST6869,30.0,Female,Pune,Home & Kitchen,Mixer Grinder,1,3075.89,10.0,Credit Card,2025-05-14,4.4,5.0,No,2768.3
ORD112084,CUST4571,35.0,Female,Delhi,Beauty,Moisturizer,3,761.1,5.0,,2025-04-07,4.4,1.0,Yes,2169.13
ORD110406,CUST1206,32.0,Female,Kolkata,Electronics,Tablet,2,22386.09,10.0,Net Banking,2026-11-07,3.1,4.0,No,40294.97
ORD100252,CUST2938,37.0,Male,Delhi,Sports,Yoga Mat,2,948.74,15.0,Debit Card,2025-05-12,4.2,1.0,No,1612.86
ORD111850,CUST8888,35.0,Female,Bengaluru,Electronics,Smartwatch,1,6648.47,5.0,Wallet,2026-01-29,4.5,8.0,No,6316.05
ORD101714,CUST5017,42.0,Female,Mumbai,Sports,Running Shoes,5,3320.24,5.0,Credit Card,2025-09-03,3.1,4.0,Yes,15771.14
ORD106779,CUST7937,32.0,Male,Delhi,Fashion,Shoes,2,2453.82,20.0,Wallet,2025-06-27,2.7,6.0,No,3926.11
ORD103708,CUST1501,39.0,Female,Ahmedabad,Beauty,Hair Dryer,3,2302.94,15.0,COD,2026-12-12,4.7,6.0,No,5872.51
ORD107860,CUST6449,47.0,Male,Warangal,Beauty,Perfume,1,1963.7,30.0,Wallet,2025-05-22,2.8,7.0,No,1374.59
ORD109531,CUST8858,43.0,Male,Ahmedabad,Home & Kitchen,Cookware Set,1,2429.5,25.0,Credit Card,2026-06-05,4.6,5.0,No,1822.13
ORD114060,CUST3765,32.0,Female,Ahmedabad,Electronics,Headphones,1,3320.47,0.0,UPI,2025-12-27,3.7,6.0,No,3320.47
ORD109593,CUST1374,32.0,Female,Pune,Books,Programming Book,1,908.39,10.0,Wallet,2026-08-26,3.7,4.0,No,817.55
ORD110578,CUST6720,48.0,Male,Guntur,Fashion,Jacket,1,3336.57,10.0,Net Banking,2025-05-15,4.5,5.0,No,3002.91
ORD107307,CUST3483,23.0,Female,Warangal,Electronics,Smartphone,1,22880.44,25.0,Credit Card,2026-12-25,4.8,3.0,No,17160.33
ORD114875,CUST5458,43.0,Female,Vijayawada,Fashion,Handbag,1,2503.82,25.0,Debit Card,2026-03-05,4.6,5.0,No,1877.87
ORD108447,CUST1612,30.0,Female,Hyderabad,Fashion,T-Shirt,1,928.94,20.0,Wallet,2026-12-02,2.1,5.0,No,743.15
ORD114201,CUST3188,41.0,Male,Delhi,Home & Kitchen,Cookware Set,2,3174.41,,Credit Card,2026-04-26,4.2,2.0,No,4761.62
ORD114156,CUST8749,23.0,Female,Visakhapatnam,Beauty,Hair Dryer,4,2104.5,5.0,Net Banking,2026-04-11,3.6,5.0,No,7997.1
ORD103070,CUST4860,32.0,Female,Guntur,Fashion,Jeans,1,1657.56,20.0,Net Banking,2026-09-25,3.9,6.0,No,1326.05
ORD102141,CUST8028,42.0,Male,Chennai,Sports,Yoga Mat,3,850.08,15.0,COD,2026-01-20,2.6,5.0,No,2167.7
ORD112674,CUST8628,53.0,Male,Kolkata,Home & Kitchen,Bedsheet,3,1644.89,10.0,Wallet,2025-11-13,3.4,1.0,No,4441.2
ORD110444,CUST7071,18.0,Female,Warangal,Home & Kitchen,Air Fryer,3,6348.82,10.0,Wallet,2025-11-08,3.3,3.0,No,17141.81
ORD104257,CUST8743,44.0,Female,Chennai,Electronics,Headphones,2,2767.57,5.0,Wallet,2025-08-06,3.4,5.0,No,5258.38
ORD113882,CUST5304,19.0,Other,Mumbai,Electronics,Smartwatch,2,6070.5,10.0,COD,2025-10-30,5.0,7.0,No,10926.89
ORD101140,CUST5474,21.0,Male,Mumbai,Beauty,Face Wash,1,3319.38,5.0,COD,2025-03-01,4.2,6.0,No,3153.41
ORD108886,CUST8849,36.0,Male,Warangal,Electronics,Laptop,1,63704.25,30.0,Debit Card,2026-06-13,4.1,5.0,No,44592.97
ORD107991,CUST8179,38.0,Male,Guntur,Home & Kitchen,Air Fryer,2,6441.54,10.0,Net Banking,2025-02-03,4.3,7.0,No,11594.78
ORD109939,CUST4636,39.0,Female,Visakhapatnam,Beauty,Makeup Kit,1,2168.43,20.0,Net Banking,2026-10-27,3.2,7.0,No,1734.74
ORD102975,CUST5382,36.0,Female,Bengaluru,Home & Kitchen,Bedsheet,1,1699.4,20.0,Credit Card,2026-05-30,5.0,2.0,No,1359.52
ORD105000,CUST4622,28.0,Female,Mumbai,Home & Kitchen,Cookware Set,1,2751.6,10.0,,2026-10-25,4.3,2.0,No,2476.44
ORD105806,CUST1382,28.0,Male,Visakhapatnam,Beauty,Makeup Kit,1,2567.86,25.0,Debit Card,2026-03-16,3.9,6.0,Yes,1925.89
ORD104075,CUST1345,18.0,Female,Ahmedabad,Electronics,Smartphone,2,23783.97,5.0,Wallet,2025-07-31,3.1,7.0,Yes,45189.55
ORD103155,CUST1589,26.0,Male,Vijayawada,Electronics,Tablet,2,23176.93,20.0,Net Banking,2025-03-20,2.7,6.0,Yes,37083.09
ORD103502,CUST1710,,Male,Warangal,Home & Kitchen,Mixer Grinder,1,4003.81,20.0,UPI,2025-12-02,3.6,3.0,Yes,3203.04
ORD100388,CUST3880,43.0,Female,Vijayawada,Books,Novel,1,434.72,15.0,Net Banking,2026-06-20,3.4,5.0,Yes,369.51
ORD100170,CUST2577,18.0,Female,Bengaluru,Books,Novel,2,513.28,5.0,Credit Card,2025-01-27,3.4,6.0,Yes,975.24
ORD109712,CUST3877,27.0,,Ahmedabad,Fashion,T-Shirt,1,988.58,10.0,Net Banking,2026-01-08,4.9,6.0,No,889.72
ORD104190,CUST1981,31.0,Female,Bengaluru,Home & Kitchen,Lamp,1,1274.14,20.0,Credit Card,2026-10-28,4.6,4.0,No,1019.31
ORD103129,CUST5169,24.0,Female,Vijayawada,Beauty,Perfume,1,1544.72,15.0,Debit Card,2025-07-06,3.1,4.0,No,1313.01
ORD114828,CUST6374,49.0,Male,Hyderabad,Electronics,Tablet,1,22641.22,10.0,Wallet,2026-02-05,3.7,4.0,No,20377.1
ORD110625,CUST1961,20.0,Female,Vijayawada,Home & Kitchen,Air Fryer,4,6402.91,15.0,COD,2026-07-09,4.4,3.0,No,21769.9
ORD109080,CUST5674,30.0,Male,Mumbai,Fashion,Shoes,1,2244.45,5.0,Wallet,2025-10-08,3.6,4.0,No,2132.23
ORD114252,CUST3513,33.0,Female,Vijayawada,Electronics,Smartphone,1,25189.06,10.0,Credit Card,2025-02-12,2.6,5.0,No,22670.16
ORD112687,CUST2788,27.0,Female,Chennai,Beauty,Perfume,1,1855.97,20.0,UPI,2025-04-16,4.3,3.0,No,1484.77
ORD110139,CUST6193,33.0,Female,Chennai,Fashion,Jeans,1,1670.74,15.0,UPI,2025-02-26,4.3,1.0,No,1420.13
ORD102055,CUST7748,39.0,Other,Pune,Fashion,Jeans,2,2058.82,0.0,Debit Card,2025-12-16,3.4,6.0,Yes,4117.63
ORD112356,CUST5905,28.0,Male,Mumbai,Fashion,Handbag,1,2514.19,10.0,Net Banking,2025-05-30,3.9,4.0,No,2262.77
ORD100933,CUST7882,38.0,,Vijayawada,Fashion,Shoes,2,2815.57,5.0,UPI,2026-06-25,5.0,6.0,No,5349.58
ORD105850,CUST7636,34.0,Male,Guntur,Beauty,Makeup Kit,1,2405.45,5.0,Net Banking,2026-05-13,3.4,6.0,No,2285.18
ORD112836,CUST8687,,Male,Guntur,Electronics,Smartwatch,3,8015.48,20.0,Credit Card,2025-07-31,4.1,5.0,No,19237.15
ORD105408,CUST7288,28.0,Male,Kolkata,Electronics,Smartphone,5,23987.38,10.0,Net Banking,2025-06-01,3.0,9.0,No,107943.2
ORD101271,CUST3101,32.0,Other,Mumbai,Books,Exam Guide,1,632.97,25.0,Debit Card,2026-05-12,2.8,3.0,No,474.72
ORD112506,CUST2006,32.0,Male,Guntur,Electronics,Tablet,1,24373.14,25.0,COD,2025-03-23,3.1,2.0,No,18279.86
ORD102217,CUST7450,33.0,Female,Guntur,Electronics,Headphones,1,3287.15,10.0,Net Banking,2025-02-10,3.3,6.0,No,2958.43
ORD105130,CUST4199,37.0,Female,Vijayawada,Books,Exam Guide,2,655.77,0.0,Credit Card,2025-10-12,4.6,5.0,No,1311.54
ORD110765,CUST2192,19.0,Female,Bengaluru,Home & Kitchen,Lamp,1,1067.66,10.0,Credit Card,2026-02-12,4.3,6.0,No,960.89
ORD107999,CUST5384,38.0,Male,Chennai,Electronics,Headphones,2,3140.03,5.0,COD,2026-01-25,5.0,6.0,No,5966.05
ORD109237,CUST4372,36.0,Female,Pune,Fashion,Jeans,1,1752.26,5.0,,2026-10-19,3.6,4.0,Yes,1664.65
ORD102445,CUST3970,30.0,Male,Bengaluru,Home & Kitchen,Air Fryer,1,6224.25,15.0,UPI,2025-12-26,3.1,5.0,No,5290.61
ORD108535,CUST8850,27.0,Female,Hyderabad,Beauty,Makeup Kit,2,2659.77,15.0,Wallet,2025-06-30,4.1,2.0,No,4521.61
ORD112535,CUST5589,39.0,Female,Ahmedabad,Fashion,Jacket,4,3364.68,0.0,Credit Card,2025-03-16,4.4,4.0,No,13458.71
ORD104833,CUST4943,19.0,Female,Warangal,Beauty,Face Wash,1,505.11,20.0,Wallet,2026-01-18,4.3,3.0,No,404.08
ORD109153,CUST8720,30.0,Female,Warangal,Home & Kitchen,Cookware Set,1,2895.75,10.0,Debit Card,2026-04-17,3.6,3.0,No,2606.18
ORD113115,CUST2861,21.0,Female,Chennai,Electronics,Smartphone,1,27924.21,10.0,Credit Card,2025-08-13,4.2,4.0,No,25131.79
ORD108257,CUST6679,34.0,Male,Warangal,Beauty,Hair Dryer,3,1963.07,15.0,COD,2025-04-26,4.0,7.0,Yes,5005.82
ORD105141,CUST4453,34.0,Female,Pune,Home & Kitchen,Lamp,3,1194.55,5.0,COD,2026-01-25,2.7,3.0,No,3404.47
ORD111157,CUST5201,40.0,Female,Delhi,Books,Exam Guide,4,640.47,15.0,Debit Card,2025-04-11,4.3,6.0,No,2177.59
ORD105271,CUST8766,26.0,,Chennai,Books,Programming Book,1,804.38,15.0,Credit Card,2026-08-03,3.4,4.0,No,683.73
ORD107202,CUST1260,36.0,Male,Hyderabad,Fashion,Handbag,1,2206.36,0.0,Credit Card,2025-09-24,3.3,3.0,No,2206.36
ORD103367,CUST5844,35.0,Female,Kolkata,Beauty,Hair Dryer,1,2235.09,20.0,COD,2026-07-10,4.7,6.0,No,1788.07
ORD109821,CUST8677,18.0,Female,Mumbai,Sports,Cricket Bat,2,2758.82,5.0,Wallet,2026-12-08,3.0,6.0,Yes,5241.75
ORD105036,CUST2911,29.0,Male,Kolkata,Electronics,Smartphone,1,23506.64,20.0,Wallet,2026-08-20,4.0,6.0,No,18805.31
ORD105220,CUST2136,33.0,Other,Kolkata,Electronics,Headphones,1,3094.07,15.0,COD,2025-07-03,4.0,5.0,Yes,2629.96
ORD107970,CUST4102,22.0,Male,Guntur,Electronics,Tablet,4,19438.73,0.0,UPI,2026-03-23,2.7,8.0,No,77754.9
ORD112981,CUST3337,24.0,female,Guntur,Electronics,Tablet,1,25030.85,0.0,Wallet,2026-01-23,3.9,5.0,No,25030.85
ORD112763,CUST3251,25.0,Female,Pune,Fashion,Jacket,1,2704.17,10.0,Net Banking,2026-01-24,2.7,6.0,No,2433.75
ORD109365,CUST5743,32.0,Male,Vijayawada,Beauty,Moisturizer,4,609.29,20.0,Wallet,2025-09-12,3.3,5.0,No,1949.73
ORD108411,CUST3564,26.0,Female,Guntur,Beauty,Face Wash,1,502.16,10.0,Wallet,2026-01-17,4.1,5.0,No,451.94
ORD103990,CUST5249,43.0,Female,Chennai,Books,Novel,3,444.49,10.0,COD,2026-12-11,3.5,5.0,No,1200.12
ORD108676,CUST6636,33.0,Male,Ahmedabad,Beauty,Makeup Kit,1,2414.16,20.0,COD,2025-01-03,4.2,5.0,No,1931.33
ORD111565,CUST1318,35.0,Male,Mumbai,Electronics,Smartphone,5,22540.06,25.0,Credit Card,2026-11-02,4.0,4.0,No,84525.24
ORD114555,CUST3939,31.0,Male,Visakhapatnam,Home & Kitchen,Air Fryer,1,6097.63,5.0,Wallet,2025-02-13,4.6,3.0,No,5792.75
ORD113562,CUST7245,39.0,Female,Mumbai,Electronics,Headphones,3,3430.64,10.0,Net Banking,2026-10-24,3.7,6.0,No,9262.72
